time;direction;foc_core.angle_rad;foc_core.duty_cycles.a;foc_core.duty_cycles.b;foc_core.duty_cycles.c;foc_core.i_abc.a;foc_core.i_abc.b;foc_core.i_abc.c;foc_core.i_dq.d;foc_core.i_dq.q;foc_core.id_target;foc_core.iq_target;foc_core.speed_measured;foc_core.speed_target;foc_core.v_dq.d;foc_core.v_dq.q;hall_debug.combined_state;hall_debug.h1;hall_debug.h2;hall_debug.h3;
3,27;-1;2,240354537963867;0,2442990392446518;0,3117738664150238;0,7514321208000183;-0,0805545225739479;-0,05488819256424904;0,15478335320949554;-0,03726506233215332;0,22702190279960632;0;0,32670921087265015;970,8384399414062;1000;-0,5855318903923035;6,980892181396484;5;1;0;1;
3,273;-1;2,7345781326293945;0,47037473320961;0,2684474587440491;0,7295989990234375;-0,0805545225739479;-0,5577448010444641;0,4642335772514343;-0,11281842738389969;0,19738107919692993;0;1,2797013521194458;1217,583740234375;1000;-0,5156278610229492;5,492630481719971;5;1;0;1;
3,275;-1;3,3525161743164062;0,7045854330062866;0,26334524154663086;0,7411462664604187;0,035489317029714584;-0,1644851565361023;0,11610208451747894;0,02984904684126377;0,25495287775993347;0;0,29098600149154663;928,935546875;1000;-0,6151487827301025;7,4466376304626465;1;0;0;1;
3,278;-1;3,8969767093658447;0,7284236550331116;0,2715764045715332;0,49800726771354675;0,04838307574391365;0,09983692318201065;0,12254895269870758;-0,11876202374696732;0,05797708034515381;0;-0,7439671754837036;1166,1502685546875;1000;-0,6182373762130737;5,707236289978027;3;0;1;1;
3,281;-1;4,496365070343018;0,7558043599128723;0,26208072900772095;0,23964762687683105;0,3707270622253418;-0,2805289924144745;0,05808016657829285;0,12239136546850204;0,36776453256607056;0;0,8098001480102539;875,8530883789062;1000;-0,728132963180542;7,446597576141357;3;0;1;1;
3,283;-1;5,089897155761719;0,7601680159568787;0,562902569770813;0,24994975328445435;0,02904243767261505;-0,009760034270584583;-0,17400752007961273;0,020587099716067314;0,21881987154483795;0;-0,7260355949401855;1102,890625;1000;-0,47548675537109375;6,310490131378174;2;0;1;0;
3,286;-1;5,6519646644592285;0,707674503326416;0,7613111138343811;0,23868882656097412;0,2353425920009613;0,11917756497859955;-0,4447764754295349;-0,030115440487861633;0,4956604540348053;0;0,824489414691925;822,7463989257812;1000;-0,5531132221221924;7,796053409576416;2;0;1;0;
3,289;-1;6,215742588043213;0,39352181553840637;0,7354563474655151;0,26454371213912964;-0,06121388077735901;0,022474365308880806;-0,01283552497625351;-0,04954095557332039;0,02559228427708149;0;-0,2045270800590515;1060,2841796875;1000;-0,5175926089286804;6,349252700805664;6;1;1;0;
3,291;-1;0,4688411355018616;0,29966437816619873;0,7003356218338013;0,4207736849784851;-0,14502331614494324;0,5511184930801392;-0,36741387844085693;0,12908467650413513;0,6388011574745178;0;1,2617790699005127;791,8946533203125;1000;-0,6456373333930969;7,8535542488098145;6;1;1;0;
3,294;-1;1,1163578033447266;0,23795998096466064;0,7613198161125183;0,6986424922943115;-0,048320118337869644;0,06760252267122269;-0,09664496034383774;-0,004677344113588333;0,16477888822555542;0;-0,16903218626976013;997,0980224609375;1000;-0,45996907353401184;7,01804780960083;4;1;0;0;
3,297;-1;1,7032471895217896;0,28425687551498413;0,5204086899757385;0,7424927353858948;-0,5318360924720764;0,022474365308880806;0,025845766067504883;-0,12017694860696793;0,5411094427108765;0;1,2932626008987427;1211,697509765625;1000;-0,24364513158798218;5,448638916015625;5;1;0;1;
3,3;-1;2,3179824352264404;0,2507513463497162;0,2816627323627472;0,7478323578834534;-0,1385764330625534;-0,022653793916106224;0,12254895269870758;0,0016860440373420715;0,19412076473236084;0;0,3948433995246887;919,003173828125;1000;-0,5998484492301941;7,245695114135742;5;1;0;1;
3,302;-1;2,8632068634033203;0,5068587064743042;0,25880029797554016;0,7326953411102295;-0,009638841263949871;-0,03554755449295044;0,006505114957690239;0,03592303395271301;0,13058999180793762;0;-0,7007520198822021;1158,405029296875;1000;-0,5979591012001038;6,055334091186523;1;0;0;1;
3,305;-1;3,446662664413452;0,7594980001449585;0,2398005723953247;0,7048089504241943;0,11285187304019928;-0,4997228980064392;0,444892942905426;0,036742277443408966;0,4869987666606903;0;0,8429735898971558;870,05810546875;1000;-0,6795215010643005;7,552649974822998;1;0;0;1;
3,308;-1;4,092529773712158;0,7598592042922974;0,24276494979858398;0,4274193346500397;0,09995811432600021;-0,03554755449295044;0,1870177537202835;-0,1638984978199005;0,13919320702552795;0;-0,6468148231506348;1072,809326171875;1000;-0,4933612644672394;6,630461692810059;3;0;1;1;
3,311;-1;4,624614715576172;0,7757453322410583;0,32219648361206055;0,21961866319179535;0,493217796087265;-0,3063164949417114;0,045186400413513184;0,002142544835805893;0,5204704999923706;0;0,8914440274238586;810,9171752929688;1000;-0,6532280445098877;8,304424285888672;3;0;1;1;
3,313;-1;5,245402812957764;0,7510260939598083;0,6258257031440735;0,24376645684242249;0,216001957654953;0,016027484089136124;-0,17400752007961273;-0,010183840990066528;0,11275136470794678;0;-0,08352786302566528;1022,2977294921875;1000;-0,5817681550979614;6,7060065269470215;2;0;1;0;
